batalla,winrate_vs_heuristics,epsilon
69800,57.99999999999999,0.009994107583211972
70000,50.0,0.009994107583211972
70200,42.0,0.009994107583211972
70400,56.00000000000001,0.009994107583211972
70600,44.0,0.009994107583211972
70800,42.0,0.009994107583211972
71000,46.0,0.009994107583211972
71200,42.0,0.009994107583211972
71400,44.0,0.009994107583211972
71600,36.0,0.009994107583211972
71800,34.0,0.009994107583211972
72000,14.000000000000002,0.009994107583211972
72200,2.0,0.009994107583211972
72400,54.0,0.009994107583211972
72600,54.0,0.009994107583211972
72800,44.0,0.009994107583211972
73000,44.0,0.009994107583211972
73200,44.0,0.009994107583211972
73400,32.0,0.009994107583211972
73600,30.0,0.009994107583211972
73800,40.0,0.009994107583211972
74000,38.0,0.009994107583211972
74200,28.000000000000004,0.009994107583211972
74400,48.0,0.009994107583211972
74600,38.0,0.009994107583211972
74800,38.0,0.009994107583211972
75000,24.0,0.009994107583211972
75200,38.0,0.009994107583211972
75400,28.000000000000004,0.009994107583211972
75600,46.0,0.009994107583211972
75800,34.0,0.009994107583211972
76000,18.0,0.009994107583211972
76200,36.0,0.009994107583211972
76400,60.0,0.009994107583211972
76600,48.0,0.009994107583211972
76800,34.0,0.009994107583211972
77000,44.0,0.009994107583211972
77200,28.000000000000004,0.009994107583211972
77400,46.0,0.009994107583211972
77600,57.99999999999999,0.009994107583211972
77800,50.0,0.009994107583211972
78000,52.0,0.009994107583211972
78200,54.0,0.009994107583211972
78400,52.0,0.009994107583211972
78600,66.0,0.009994107583211972
78800,46.0,0.009994107583211972
79000,57.99999999999999,0.009994107583211972
79200,46.0,0.009994107583211972
79400,54.0,0.009994107583211972
79600,38.0,0.009994107583211972
79800,34.0,0.009994107583211972
80000,40.0,0.009994107583211972
80200,40.0,0.009994107583211972
80400,44.0,0.009994107583211972
80600,46.0,0.009994107583211972
80800,40.0,0.009994107583211972
81000,34.0,0.009994107583211972
81200,42.0,0.009994107583211972
81400,16.0,0.009994107583211972
81600,44.0,0.009994107583211972
81800,36.0,0.009994107583211972
82000,52.0,0.009994107583211972
82200,32.0,0.009994107583211972
82400,40.0,0.009994107583211972
82600,48.0,0.009994107583211972
82800,40.0,0.009994107583211972
83000,46.0,0.009994107583211972
83200,46.0,0.009994107583211972
83400,48.0,0.009994107583211972
83600,48.0,0.009994107583211972
83800,52.0,0.009994107583211972
84000,36.0,0.009994107583211972
84200,62.0,0.009994107583211972
84400,42.0,0.009994107583211972
84600,48.0,0.009994107583211972
84800,46.0,0.009994107583211972
85000,44.0,0.009994107583211972
85200,57.99999999999999,0.009994107583211972
85400,30.0,0.009994107583211972
85600,50.0,0.009994107583211972
85800,48.0,0.009994107583211972
86000,42.0,0.009994107583211972
